Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,452031,Ben Benneyworth2,1,1,18,1,25,46
2,286267,Phil McDougall,0,0,13,0,21,34
3,395972,Nigel Stock,0,0,15,0,19,34
4,435038,Jochen Siegert,0,0,12,0,17,29
5,385849,Matt Emmens,0,0,11,0,0,11
6,361745,Jake Pitt,0,0,0,0,0,0
7,548231,Mark Kent,0,0,0,0,0,0
8,725757,Baz Meacham,0,0,0,0,0,0
9,34483,Mike Riedner,0,0,0,0,0,0
10,375113,Mark Sykes,0,0,0,0,0,0
11,846950,Matthew Cheverton,0,0,0,0,0,0
12,566232,Kevin Stringer3,0,0,0,0,0,0
